"IndividualId","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Hematocrit","Organism|MeanBW","Organism|MeanHeight","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate","Scenario_name"
0,23,40,16.1,1.00082002297364,1,0.446666666666667,65.0666666666667,17.18,0.855132702802236,0.371718655616307,0.0310398,9.21866763973031,1.49516449298341,0.52991,13.108017893848,0.767333333333333,0.757741666666667,0.00191833333333333,0.188,0.182666666666667,0.2192,0.818169166666667,0.882433333333333,0.00153466666666667,0.00194135333333333,0.1644,0.01096,0.0365333333333333,0.0268478,0.0286703871663049,0.122660666666667,0.342382809497673,0.735321533333333,0.381240145789446,30,54,0.11704,1.5,15,0.9,44.4,3.37292886666667,1.00000000260982,0.488067333333333,15.0000000391473,1.00000002079922,0.999999963215789,1.95226,0.488067333333333,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.145789163225325,0.423186,126.000000328837,0.627127282782298,0.984309066666667,2583.4,0.359257138407498,0.686773466666667,1.99176723702499,0.2074,0.980160877527271,0.58,26.9596090729496,0.013,0.0238,0.0072,0.177,0.811,0.76,0.169333333333333,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0345810666666667,0.163688426411499,0.378150666666667,0.920203864685342,2.865737741919,0.110492666666667,0.185664556043029,0.843717666666667,"G_1234_I_1234_1000"
1,33,40,17.1,0.999326391363383,1,0.47,73.4110521892992,17.5731979695431,0.942943216812653,0.410242521099486,0.027495,11.1974319334267,1.50779480231781,0.51054913465629,10.7429852203639,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02184,0.0395953925746916,0.0806,0.413250617102292,0.6236118661,0.439294239165182,30,54,0.11704,1.5,15,0.9,44.4,2.96314707003723,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.165009949791398,0.386751384876208,126.000000328837,0.708876165374612,0.899164415006807,2652,0.403336683240915,0.631563709309633,2.27722271039562,0.180478873515841,1.18739209022713,0.58,29.7210895548893,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03419,0.186389731777002,0.342171004382098,0.973285532408377,3.48739035630517,0.08645,0.196469054471057,0.825880674317225,"G_1234_I_1234_1001"
2,26,40,17.1,1.00046858455636,1,0.456666666666667,68.4666666666667,17.36,0.915435393849494,0.398041381086498,0.0295206,10.7323530436037,1.50015985593583,0.52427,10.280589365724,0.781333333333333,0.771566666666667,0.00195333333333333,0.176,0.168666666666667,0.2024,0.833096666666667,0.898533333333333,0.00156266666666667,0.00197677333333333,0.1518,0.01012,0.0337333333333333,0.0247016,0.0340701124439672,0.104634666666667,0.37921628520178,0.687333733333333,0.410279634898474,30,54,0.11704,1.5,15,0.9,44.4,3.22469506666667,1.00000000260982,0.493181333333333,15.0000000391473,1.00000002079922,0.999999963215789,1.97272,0.493181333333333,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.157816893915183,0.407292,126.000000328837,0.678096541662631,0.947169466666667,2612.8,0.387057768762931,0.662656266666667,2.14911345745447,0.1954,1.08350967276391,0.58,29.3342411580759,0.013,0.0238,0.0072,0.177,0.811,0.76,0.165333333333333,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0344134666666667,0.177398897656279,0.362614666666667,0.985118550017331,3.20060740298699,0.100188666666667,0.196893791280268,0.825463666666667,"G_1234_I_1234_1002"
3,24,40,16.8,1.00070287683455,1,0.45,66.2,17.24,0.889931354939012,0.386834556234426,0.0305334,10.1482286193782,1.49748363934323,0.52803,24.1716292930753,0.772,0.76235,0.00193,0.184,0.178,0.2136,0.823145,0.8878,0.001544,0.00195316,0.1602,0.01068,0.0356,0.0261324,0.0309479831949121,0.116652,0.361019391983749,0.7193256,0.398712883193687,30,54,0.11704,1.5,15,0.9,44.4,3.3235176,1.00000000260982,0.489772,15.0000000391473,1.00000002079922,0.999999963215789,1.95908,0.489772,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.152347547791824,0.417888,126.000000328837,0.655509835841664,0.9719292,2593.2,0.375358242085631,0.6787344,2.10796140712797,0.2034,1.04116613566672,0.58,30.086017784826,0.013,0.0238,0.0072,0.177,0.811,0.76,0.168,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0345252,0.171346648193876,0.372972,0.957730643700358,3.37432225385061,0.107058,0.193452458113131,0.837633,"G_1234_I_1234_1003"
4,37,40,16.9,0.998428246514561,1,0.47,73.9591217750313,17.537461928934,0.935003132162511,0.406953528603305,0.027495,10.9964304180952,1.50870289603413,0.50228131419801,27.9269609259887,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02184,0.0394979624198198,0.0806,0.419031505346497,0.6239610209,0.453923849709558,30,54,0.11704,1.5,15,0.9,44.4,2.87794316342019,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.163983088491862,0.387619898044486,126.000000328837,0.705426322839234,0.901183635015883,2652,0.401891796675456,0.632981988389143,2.32746068706898,0.181917371536963,1.21861895185581,0.58,31.2624347118444,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03419,0.185864644748003,0.342532343558229,0.910139288434576,3.94823544422585,0.08645,0.189441723320565,0.858888240073526,"G_1234_I_1234_1004"
5,24,40,16.5,1.00070287683455,1,0.45,66.2,17.24,0.877852506414075,0.381627975667675,0.0305334,9.78829279655673,1.49711638897892,0.52803,14.5294420546599,0.772,0.76235,0.00193,0.184,0.178,0.2136,0.823145,0.8878,0.001544,0.00195316,0.1602,0.01068,0.0356,0.0261324,0.0305335267604106,0.116652,0.356019684170005,0.7193256,0.392737085495906,30,54,0.11704,1.5,15,0.9,44.4,3.3235176,1.00000000260982,0.489772,15.0000000391473,1.00000002079922,0.999999963215789,1.95908,0.489772,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.150246093124324,0.417888,126.000000328837,0.646408160803592,0.9719292,2593.2,0.369964792439464,0.6787344,2.06645601847633,0.2034,1.02276910377591,0.58,28.5213003410922,0.013,0.0238,0.0072,0.177,0.811,0.76,0.168,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0345252,0.168918585540669,0.372972,0.944742784165936,3.06516921775625,0.107058,0.190403244691293,0.837633,"G_1234_I_1234_1005"
6,37,40,16.4,0.998428246514561,1,0.47,73.9591217750313,17.537461928934,0.914180982831726,0.397874529690012,0.027495,10.3552636410668,1.50858700978403,0.50228131419801,21.0392252897107,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02184,0.0386190206987731,0.0806,0.409589645590634,0.6239610209,0.443624616225975,30,54,0.11704,1.5,15,0.9,44.4,2.87794316342019,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.160313995596618,0.387619898044486,126.000000328837,0.689673731237923,0.901183635015883,2652,0.392799527491043,0.632981988389143,2.27189719476118,0.181917371536963,1.19045446409751,0.58,29.2921432865027,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03419,0.181736312392451,0.342532343558229,0.889856974522892,3.63893142449274,0.08645,0.185228758237549,0.858888240073526,"G_1234_I_1234_1006"
7,23,40,15.5,1.00082002297364,1,0.446666666666667,65.0666666666667,17.18,0.829515830746883,0.360994155260397,0.0310398,8.53633720957464,1.49013228097317,0.52991,4.805041603712,0.767333333333333,0.757741666666667,0.00191833333333333,0.188,0.182666666666667,0.2192,0.818169166666667,0.882433333333333,0.00153466666666667,0.00194135333333333,0.1644,0.01096,0.0365333333333333,0.0268478,0.0278646257143723,0.122660666666667,0.329155350358082,0.735321533333333,0.362968848692646,30,54,0.11704,1.5,15,0.9,44.4,3.37292886666667,1.00000000260982,0.488067333333333,15.0000000391473,1.00000002079922,0.999999963215789,1.95226,0.488067333333333,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.141301390553418,0.423186,126.000000328837,0.604971148268104,0.984309066666667,2583.4,0.344963738114266,0.686773466666667,1.75709886501245,0.2074,0.900322812601142,0.58,20.8910964232713,0.013,0.0238,0.0072,0.177,0.811,0.76,0.169333333333333,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0345810666666667,0.157403107904227,0.378150666666667,0.892618489013378,2.3924024914467,0.110492666666667,0.1758117334747,0.843717666666667,"G_1234_I_1234_1007"
8,33,40,15.9,0.999326391363383,1,0.47,73.4110521892992,17.5731979695431,0.893326781439031,0.388533575948831,0.027495,9.68372642926963,1.5093413897855,0.51054913465629,16.1633009352471,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02184,0.0374922488143955,0.0806,0.392749296358254,0.6236118661,0.418269631186689,30,54,0.11704,1.5,15,0.9,44.4,2.96314707003723,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.156369158600221,0.386751384876208,126.000000328837,0.672756139220286,0.899164415006807,2652,0.383192487615047,0.631563709309633,2.22155528447952,0.180478873515841,1.14576171574137,0.58,27.2765405246424,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03419,0.176923231887354,0.342171004382098,0.922074336812842,3.37058334333423,0.08645,0.18750354712093,0.825880674317225,"G_1234_I_1234_1008"
9,33,40,17.6,0.999326391363383,1,0.47,73.4110521892992,17.5731979695431,0.964084399073345,0.419308636222837,0.027495,11.8657073811399,1.50928929895757,0.51054913465629,28.0232477793363,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02184,0.0404604942243193,0.0806,0.424198422706213,0.6236118661,0.451605674026128,30,54,0.11704,1.5,15,0.9,44.4,2.96314707003723,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.168788696789096,0.386751384876208,126.000000328837,0.726087126740913,0.899164415006807,2652,0.413703352818868,0.631563709309633,2.40391823750138,0.180478873515841,1.23839702248791,0.58,33.8245389293967,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03419,0.191064320930089,0.342171004382098,0.995196675279972,4.1380516476471,0.08645,0.202352316012367,0.825880674317225,"G_1234_I_1234_1009"
